site,barcode,sdate,catch
ABOVE GRND I,16008449,08/14/2006,4
CHAIN LAKE,16003312,08/18/1997,1
,-1600795,10/05/1992,1
big lake,16007768,08/04/2004,2
Bath Fixed,16011500,08/19/2013,114
STEWART LAKE,16009915,08/16/2010,2
LILY LK,16009965,10/07/2010,1
GRAPE/BAR,16011608,09/26/2013,1
TOWHEAD,16012583,08/05/2016,2
BIG PRAIRIE,16005511,07/27/2000,2
BEARDSTOWN,16008658,06/22/2007,33
LILY LK MCB,16009964,10/07/2010,1
LIVERPOOL,16009223,06/19/2008,1
MATANZAS,16008792,08/10/2007,6
CLEAR LK MC,16008194,09/26/2005,16
TREADWAY,16012437,08/18/2015,5
U BATH CHUTE,16001498,10/06/1995,1
MEYERS,16008968,09/28/2007,1
CRYSTAL MCBU,16001451,09/19/1995,13
LILY LAKE,16005841,10/02/2000,2
DUCK ISLAND,16012507,10/06/2015,1
,16000507,06/30/1994,1
EMIQUON LEVY,16011385,06/17/2013,1
RM 141.5,16011660,06/30/2014,2
BROWNING MC,16005832,09/29/2000,4
SENATE ISLAN,16009139,08/06/2008,34
BATH CHUTE,16010293,07/06/2011,1
BATH CHUTE,16012655,08/04/2016,1
RM 151,16013403,09/28/2017,1
RM 114.5,16011764,09/03/2014,1
BIG LAKE,16006579,10/04/2001,11
MATANZAS,16008791,08/10/2007,1
CLEAR LAKE,16012131,08/05/2015,7
BATH CHUTE,16003146,07/24/1997,2
,16000679,08/10/1994,2
KINGSTON MNS,16002706,10/10/1996,1
RM 105,16010377,08/02/2011,1
RM 118,16013303,08/14/2017,2
PEORIA TWZ,16001446,09/18/1995,1
LA GRANGE,16005716,08/31/2000,3
BATH FIXED,16010591,10/25/2011,1
bath chute,16007776,08/06/2004,1
CRANE LK,16005202,10/12/1999,1
LAGRANGE,16005756,09/14/2000,13
MATANZASLAKE,16002653,09/26/1996,1
BATH CHUTE,16009036,10/12/2007,1
RM 96,16010880,10/03/2012,1
RM 103,16010375,08/02/2011,1
Dynamite Dch,16007280,09/09/2003,3
,16000514,07/06/1994,1
CLEAR LAKE,16006716,06/21/2002,8
M BATH CHUTE,16002544,09/06/1996,1
BATH CH FIX,16005755,09/14/2000,1
,-1600488,06/16/1992,5
,-1600438,10/09/1991,71
WOOD SL,16005700,08/29/2000,7
HAVANA RIVFR,16010567,10/14/2011,1
MUSCOOTEN,16009342,08/05/2008,2
GRAPE ISLAND,16008478,08/21/2006,3
BATH CHUTE,16005002,08/24/1999,3
QUIVER LAKE,16004804,07/06/1999,1
 BATH CH FIX,16001111,06/28/1995,1
MUSCOOTUN,16013865,10/15/2018,1
CRANE LAKE,16005038,09/02/1999,2
SNICARTE,16005961,10/23/2000,22
BATH CHUTE,16010486,08/03/2011,14
BELOW HAVANA,16009423,10/02/2008,1
,16009972,10/11/2010,1
BATH CHUTE,16009014,10/15/2007,1
WOOD SLOUGH,16006485,09/20/2001,3
Peoria TWZ,16011704,07/24/2014,9
liverpool,16007395,09/19/2003,1
below peoria,16008637,06/18/2007,712
TOWHEAD,16006858,08/09/2002,2
TREADWAY LAK,16003977,07/20/1998,15
RM 107,16011336,09/25/2013,1
MATANZAS,16010390,08/10/2011,2
BAR ISLAND,16010795,08/30/2012,2
RM 154.5,16012310,06/17/2015,1
MATANZAS,16005068,09/07/1999,2
QUIVER ISL,16005501,07/25/2000,4
BEARDSTOWN,16004706,10/28/1998,1
,16000818,09/12/1994,3
SOUTH OF HAV,16006527,09/27/2001,1
MATANZAS,16004529,09/17/1998,7
BATH CH,16004914,08/03/1999,3
QUIVER ISL,16005503,07/25/2000,12
RM 137,16010387,08/09/2011,1
Copperas Cr,16009977,10/18/2010,2
LIVERPOOL,16001250,08/04/1995,58
PEORIA TWZ,16003420,09/10/1997,2
MATANZAS,16013634,09/07/2018,1
,-1600462,10/21/1991,1
matanzas,16007983,10/05/2004,1
,16000289,09/20/1993,3
liverpool,16007395,09/19/2003,1
Banner SC,16007427,09/25/2003,1
Banner SC,16007427,09/25/2003,1
,-1600798,10/05/1992,1
Peoria TWZ,16012110,07/24/2015,53
BATH CHUTE,16011591,09/23/2013,1
GRAND ISLAND,16009425,10/02/2008,1
GRAND ISLAND,16003982,07/21/1998,7
MATANZAS,16004618,10/06/1998,4
BATH FIX,16006654,10/23/2001,1
CHAIN LAKE,16008936,09/17/2007,1
,-1600734,09/14/1992,1
Sugar Ck Is,16007340,09/08/2003,10
BIG LAKE,16005030,08/30/1999,1
Bath Fixed,16010138,08/31/2010,3
MEYERS DITCH,16010645,10/13/2011,1
GRAPE ISLAND,16008659,06/22/2007,1
RM 81,16011733,08/25/2014,1
DUCK ISLAND,16003859,06/18/1998,5
LILLY,16008612,09/19/2006,1
,16000007,06/21/1993,1
   LIVERPOOL,16001215,07/27/1995,2
MUSCOOTUN,16013865,10/15/2018,1
LA GRANGE,16001566,10/18/1995,1
Bath fixed,16007516,08/27/2003,1
MATANZAS,16008995,10/04/2007,1
RM 131,16012350,07/13/2015,17
BROWNING,16007985,10/05/2004,1
beebe lake,16007942,09/27/2004,2
MCB AND LAKE,16010352,07/18/2011,15
MEYERS DITCH,16008966,09/28/2007,1
matanzas,16007983,10/05/2004,1
LA GRANGE,16005714,08/30/2000,2
Bath chute,16007421,09/29/2003,1
MATANZA MCBU,16005769,09/18/2000,4
MCB AND LAKE,16010352,07/18/2011,83
Peoria TWZ,16008452,08/15/2006,3
Peoria TWZ,16012990,10/28/2016,1
,16000133,07/27/1993,65
DUCK ISLAND,16013383,09/22/2017,1
TREADWAY,16005439,07/14/2000,1
TURKEY IS,16005560,08/04/2000,1
Bath Fixed,16011592,09/24/2013,1
LAGRANGE TWZ,16001106,06/27/1995,1
,16000619,07/28/1994,2
PEKIN BOAT,16004002,08/03/1998,1
PEORIA TWZ,16004831,07/16/1999,133
SUGAR CREEK,16009427,10/03/2008,1
TOWHEAD,16009309,08/06/2008,23
,16000582,07/19/1994,1
GRAND IS,16009242,07/01/2008,1
LILY LAKE,16003154,07/25/1997,1
,16000069,07/08/1993,1
bath chute,16007775,08/06/2004,4
LILY LAKE,16006278,08/08/2001,1
bath fix,16007749,07/06/2004,3
Bath Fixed,16007519,08/15/2003,2
BATH CHUTE,16010147,09/16/2010,4
BAR ISLAND,16008662,06/22/2007,4
BATH CHUTE,16012656,08/04/2016,1
BATH CHUTE,16013045,08/02/2017,1
RM 111,16012540,10/26/2015,1
Clear lke,16007396,09/19/2003,29
GRAPE/BAR,16013256,07/12/2017,2
CRYSTAL LAKE,16010831,08/27/2012,2
